ENSG0001	gene_1
ENSG000239	gene_239
ENSG000240	gene_240
ENSG000241	MT-241
ENSG000242	gene_242
ENSG000243	gene_243
ENSG000244	gene_244
ENSG000245	MT-245
ENSG000246	gene_246
ENSG000247	gene_247
ENSG000248	gene_248
ENSG000249	gene_249
ENSG000250	gene_250
ENSG000251	gene_251
ENSG000252	gene_252
ENSG000253	gene_253
ENSG000254	gene_254
ENSG000255	gene_255
ENSG000256	gene_256
ENSG000257	gene_257
ENSG000258	gene_258
ENSG000259	gene_259
ENSG000260	gene_260
ENSG000261	gene_261
ENSG000262	gene_262
ENSG000263	gene_263
ENSG000264	gene_264
ENSG000265	gene_265
ENSG000266	gene_266
ENSG000267	gene_267
ENSG000268	MT-268
ENSG000269	gene_269
ENSG000270	gene_270
ENSG000271	gene_271
ENSG000272	gene_272
ENSG000273	gene_273
ENSG000274	gene_274
ENSG000275	MT-275
ENSG000276	gene_276
ENSG000277	gene_277
ENSG000278	MT-278
ENSG000279	gene_279
ENSG000280	gene_280
ENSG000281	gene_281
ENSG000282	gene_282
ENSG000283	gene_283
ENSG000284	gene_284
ENSG000285	gene_285
ENSG000286	gene_286
ENSG000287	MT-287
ENSG000288	gene_288
ENSG000289	gene_289
ENSG000290	gene_290
ENSG000291	gene_291
ENSG000292	gene_292
ENSG000293	MT-293
ENSG000294	gene_294
ENSG000295	gene_295
ENSG000296	gene_296
ENSG000297	gene_297
ENSG000298	gene_298
ENSG000299	gene_299
ENSG000300	gene_300
ENSG000301	gene_301
ENSG000302	gene_302
ENSG000303	gene_303
ENSG000304	gene_304
ENSG000305	MT-305
ENSG000306	MT-306
ENSG000307	MT-307
ENSG000308	MT-308
ENSG000309	gene_309
ENSG000310	gene_310
ENSG000311	gene_311
ENSG000312	gene_312
ENSG000313	gene_313
ENSG000314	gene_314
ENSG000315	gene_315
ENSG000316	gene_316
ENSG000317	gene_317
ENSG000318	gene_318
ENSG000319	gene_319
ENSG000320	MT-320
ENSG000321	gene_321
ENSG000322	gene_322
ENSG000323	gene_323
ENSG000324	gene_324
ENSG000325	gene_325
ENSG000326	gene_326
ENSG000327	gene_327
ENSG000328	gene_328
ENSG000329	gene_329
ENSG000330	gene_330
ENSG000331	gene_331
ENSG000332	gene_332
ENSG000333	gene_333
ENSG000334	gene_334
ENSG000335	gene_335
ENSG000336	gene_336
ENSG000337	MT-337
ENSG000338	gene_338
ENSG000339	MT-339
ENSG000340	gene_340
ENSG000341	gene_341
ENSG000342	MT-342
ENSG000343	gene_343
ENSG000344	gene_344
ENSG000345	gene_345
ENSG000346	gene_346
ENSG000347	gene_347
ENSG000348	gene_348
ENSG000349	gene_349
ENSG000350	gene_350
ENSG000351	gene_351
ENSG000352	gene_352
ENSG000353	gene_353
ENSG000354	gene_354
ENSG000355	MT-355
ENSG000356	gene_356
ENSG000357	gene_357
ENSG000358	gene_358
ENSG000359	gene_359
ENSG000360	gene_360
ENSG000361	gene_361
ENSG000362	gene_362
ENSG000363	MT-363
ENSG000364	gene_364
ENSG000365	gene_365
ENSG000366	gene_366
ENSG000367	gene_367
ENSG000368	gene_368
ENSG000369	gene_369
ENSG000370	gene_370
ENSG000371	gene_371
ENSG000372	gene_372
ENSG000373	gene_373
ENSG000374	gene_374
ENSG000375	gene_375
ENSG000376	gene_376
ENSG000377	gene_377
ENSG000378	gene_378
ENSG000379	gene_379
ENSG000380	gene_380
ENSG000381	gene_381
ENSG000382	gene_382
ENSG000383	gene_383
ENSG000384	gene_384
ENSG000385	gene_385
ENSG000386	gene_386
ENSG000387	gene_387
ENSG000388	gene_388
ENSG000389	MT-389
ENSG000390	gene_390
ENSG000391	gene_391
ENSG000392	gene_392
ENSG000393	gene_393
ENSG000394	gene_394
ENSG000395	gene_395
ENSG000396	MT-396
ENSG000397	gene_397
ENSG000398	gene_398
ENSG000399	gene_399
ENSG000400	gene_400
ENSG000401	gene_401
ENSG000402	gene_402
ENSG000403	gene_403
ENSG000404	gene_404
ENSG000405	gene_405
ENSG000406	gene_406
ENSG000407	gene_407
ENSG000408	gene_408
ENSG000409	gene_409
ENSG000410	gene_410
ENSG000411	MT-411
ENSG000412	gene_412
ENSG000413	gene_413
ENSG000414	gene_414
ENSG000415	gene_415
ENSG000416	gene_416
ENSG000417	gene_417
ENSG000418	MT-418
ENSG000419	gene_419
ENSG000420	gene_420
ENSG000421	gene_421
ENSG000422	gene_422
ENSG000423	gene_423
ENSG000424	MT-424
ENSG000425	gene_425
ENSG000426	gene_426
ENSG000427	gene_427
ENSG000428	gene_428
ENSG000429	gene_429
ENSG000430	gene_430
ENSG000431	gene_431
ENSG000432	gene_432
ENSG000433	gene_433
ENSG000434	gene_434
ENSG000435	gene_435
ENSG000436	gene_436
ENSG000437	gene_437
ENSG000438	gene_438
ENSG000439	gene_439
ENSG000440	gene_440
ENSG000441	MT-441
ENSG000442	MT-442
ENSG000443	gene_443
ENSG000444	gene_444
ENSG000445	gene_445
ENSG000446	gene_446
ENSG000447	gene_447
ENSG000448	gene_448
ENSG000449	MT-449
ENSG000450	gene_450
ENSG000451	gene_451
ENSG000452	gene_452
ENSG000453	gene_453
ENSG000454	gene_454
ENSG000455	gene_455
ENSG000456	gene_456
ENSG000457	gene_457
ENSG000458	gene_458
ENSG000459	gene_459
ENSG000460	gene_460
ENSG000461	gene_461
ENSG000462	gene_462
ENSG000463	gene_463
ENSG000464	gene_464
ENSG000465	gene_465
ENSG000466	gene_466
ENSG000467	gene_467
ENSG000468	gene_468
ENSG000469	gene_469
ENSG000470	gene_470
ENSG000471	gene_471
ENSG000472	gene_472
ENSG000473	gene_473
ENSG000474	gene_474
ENSG000475	gene_475
ENSG000476	gene_476
ENSG000477	gene_477
ENSG000478	gene_478
ENSG000479	gene_479
ENSG000480	gene_480
ENSG000481	gene_481
ENSG000482	gene_482
ENSG000483	gene_483
ENSG000484	gene_484
ENSG000485	gene_485
ENSG000486	gene_486
ENSG000487	gene_487
ENSG000488	gene_488
ENSG000489	gene_489
ENSG000490	gene_490
ENSG000491	gene_491
ENSG000492	gene_492
ENSG000493	gene_493
ENSG000494	gene_494
ENSG000495	gene_495
ENSG000496	gene_496
ENSG000497	gene_497
ENSG000498	MT-498
ENSG000499	gene_499
ENSG000500	MT-500
ENSG000501	gene_501
ENSG000502	MT-502
ENSG000503	gene_503
ENSG000504	gene_504
ENSG000505	gene_505
ENSG000506	MT-506
ENSG000507	gene_507
ENSG000508	gene_508
ENSG000509	gene_509
ENSG000510	gene_510
ENSG000511	gene_511
ENSG000512	gene_512
ENSG000513	gene_513
ENSG000514	gene_514
ENSG000515	gene_515
ENSG000516	gene_516
ENSG000517	gene_517
ENSG000518	gene_518
ENSG000519	gene_519
ENSG000520	gene_520
ENSG000521	gene_521
ENSG000522	gene_522
ENSG000523	gene_523
ENSG000524	gene_524
ENSG000525	gene_525
ENSG000526	gene_526
ENSG000527	gene_527
ENSG000528	gene_528
ENSG000529	gene_529
ENSG000530	gene_530
ENSG000531	gene_531
ENSG000532	gene_532
ENSG000533	gene_533
ENSG000534	gene_534
ENSG000535	gene_535
ENSG000536	gene_536
ENSG000537	gene_537
ENSG000538	gene_538
ENSG000539	gene_539
ENSG000540	MT-540
ENSG000541	gene_541
ENSG000542	gene_542
ENSG000543	MT-543
ENSG000544	gene_544
ENSG000545	MT-545
ENSG000546	MT-546
ENSG000547	gene_547
ENSG000548	gene_548
ENSG000549	gene_549
ENSG000550	gene_550
ENSG000551	gene_551
ENSG000552	MT-552
ENSG000553	gene_553
ENSG000554	gene_554
ENSG000555	gene_555
ENSG000556	gene_556
ENSG000557	gene_557
ENSG000558	gene_558
ENSG000559	gene_559
ENSG000560	gene_560
ENSG000561	gene_561
ENSG000562	gene_562
ENSG000563	gene_563
ENSG000564	gene_564
ENSG000565	gene_565
ENSG000566	gene_566
ENSG000567	gene_567
ENSG000568	gene_568
ENSG000569	gene_569
ENSG000570	gene_570
ENSG000571	gene_571
ENSG000572	gene_572
ENSG000573	gene_573
ENSG000574	MT-574
ENSG000575	gene_575
ENSG000576	gene_576
ENSG000577	gene_577
ENSG000578	gene_578
ENSG000579	gene_579
ENSG000580	gene_580
ENSG000581	gene_581
ENSG000582	gene_582
ENSG000583	gene_583
ENSG000584	gene_584
ENSG000585	gene_585
ENSG000586	gene_586
ENSG000587	gene_587
ENSG000588	gene_588
ENSG000589	gene_589
ENSG000590	gene_590
ENSG000591	MT-591
ENSG000592	gene_592
ENSG000593	gene_593
ENSG000594	gene_594
ENSG000595	gene_595
ENSG000596	gene_596
ENSG000597	gene_597
ENSG000598	gene_598
ENSG000599	gene_599
ENSG000600	gene_600
ENSG000601	gene_601
ENSG000602	gene_602
ENSG000603	gene_603
ENSG000604	gene_604
ENSG000605	gene_605
ENSG000606	gene_606
ENSG000607	gene_607
ENSG000608	gene_608
ENSG000609	gene_609
ENSG000610	gene_610
ENSG000611	gene_611
ENSG000612	gene_612
ENSG000613	gene_613
ENSG000614	MT-614
ENSG000615	gene_615
ENSG000616	gene_616
ENSG000617	gene_617
ENSG000618	gene_618
ENSG000619	gene_619
ENSG000620	gene_620
ENSG000621	gene_621
ENSG000622	gene_622
ENSG000623	MT-623
ENSG000624	gene_624
ENSG000625	gene_625
ENSG000626	gene_626
ENSG000627	MT-627
ENSG000628	gene_628
ENSG000629	gene_629
ENSG000630	gene_630
ENSG000631	gene_631
ENSG000632	gene_632
ENSG000633	gene_633
ENSG000634	gene_634
ENSG000635	gene_635
ENSG000636	MT-636
ENSG000637	MT-637
ENSG000638	gene_638
ENSG000639	gene_639
ENSG000640	gene_640
ENSG000641	gene_641
ENSG000642	gene_642
ENSG000643	gene_643
ENSG000644	gene_644
ENSG000645	gene_645
ENSG000646	MT-646
ENSG000647	gene_647
ENSG000648	MT-648
ENSG000649	gene_649
ENSG000650	gene_650
ENSG000651	gene_651
ENSG000652	gene_652
ENSG000653	gene_653
ENSG000654	gene_654
ENSG000655	gene_655
ENSG000656	gene_656
ENSG000657	gene_657
ENSG000658	gene_658
ENSG000659	gene_659
ENSG000660	MT-660
ENSG000661	gene_661
ENSG000662	gene_662
ENSG000663	gene_663
ENSG000664	gene_664
ENSG000665	MT-665
ENSG000666	gene_666
ENSG000667	gene_667
ENSG000668	gene_668
ENSG000669	gene_669
ENSG000670	gene_670
ENSG000671	gene_671
ENSG000672	gene_672
ENSG000673	gene_673
ENSG000674	gene_674
ENSG000675	gene_675
ENSG000676	gene_676
ENSG000677	gene_677
ENSG000678	gene_678
ENSG000679	gene_679
ENSG000680	gene_680
ENSG000681	gene_681
ENSG000682	gene_682
ENSG000683	gene_683
ENSG000684	gene_684
ENSG000685	gene_685
ENSG000686	gene_686
ENSG000687	gene_687
ENSG000688	gene_688
ENSG000689	gene_689
ENSG000690	gene_690
ENSG000691	gene_691
ENSG000692	gene_692
ENSG000693	gene_693
ENSG000694	gene_694
ENSG000695	gene_695
ENSG000696	gene_696
ENSG000697	gene_697
ENSG000698	gene_698
ENSG000699	gene_699
ENSG000700	gene_700
ENSG000701	gene_701
ENSG000702	gene_702
ENSG000703	gene_703
ENSG000704	gene_704
ENSG000705	gene_705
ENSG000706	MT-706
ENSG000707	gene_707
ENSG000708	gene_708
ENSG000709	gene_709
ENSG000710	gene_710
ENSG000711	gene_711
ENSG000712	gene_712
ENSG000713	gene_713
ENSG000714	gene_714
ENSG000715	gene_715
ENSG000716	gene_716
ENSG000717	gene_717
ENSG000718	gene_718
ENSG000719	gene_719
ENSG000720	gene_720
ENSG000721	gene_721
ENSG000722	gene_722
ENSG000723	gene_723
ENSG000724	gene_724
ENSG000725	gene_725
ENSG000726	gene_726
ENSG000727	gene_727
ENSG000728	gene_728
ENSG000729	gene_729
ENSG000730	gene_730
ENSG000731	gene_731
ENSG000732	gene_732
ENSG000733	MT-733
ENSG000734	gene_734
ENSG000735	gene_735
ENSG000736	gene_736
ENSG000737	gene_737
ENSG000738	gene_738
ENSG000739	gene_739
ENSG000740	gene_740
ENSG000741	MT-741
ENSG000742	gene_742
ENSG000743	gene_743
ENSG000744	MT-744
ENSG000745	gene_745
ENSG000746	MT-746
ENSG000747	gene_747
ENSG000748	MT-748
ENSG000749	gene_749
ENSG000750	gene_750
ENSG000751	gene_751
ENSG000752	gene_752
ENSG000753	gene_753
ENSG000754	MT-754
ENSG000755	gene_755
ENSG000756	gene_756
ENSG000757	gene_757
ENSG000758	gene_758
ENSG000759	gene_759
ENSG000760	gene_760
ENSG000761	MT-761
ENSG000762	gene_762
ENSG000763	gene_763
ENSG000764	gene_764
ENSG000765	MT-765
ENSG000766	gene_766
ENSG000767	gene_767
ENSG000768	gene_768
ENSG000769	gene_769
ENSG000770	gene_770
ENSG000771	gene_771
ENSG000772	MT-772
ENSG000773	gene_773
ENSG000774	gene_774
ENSG000775	MT-775
ENSG000776	gene_776
ENSG000777	gene_777
ENSG000778	gene_778
ENSG000779	gene_779
ENSG000780	MT-780
ENSG000781	gene_781
ENSG000782	gene_782
ENSG000783	gene_783
ENSG000784	gene_784
ENSG000785	gene_785
ENSG000786	gene_786
ENSG000787	gene_787
ENSG000788	gene_788
ENSG000789	gene_789
ENSG000790	gene_790
ENSG000791	gene_791
ENSG000792	gene_792
ENSG000793	gene_793
ENSG000794	gene_794
ENSG000795	gene_795
ENSG000796	gene_796
ENSG000797	gene_797
ENSG000798	gene_798
ENSG000799	gene_799
ENSG000800	gene_800
ENSG000801	gene_801
ENSG000802	MT-802
ENSG000803	gene_803
ENSG000804	gene_804
ENSG000805	gene_805
ENSG000806	gene_806
ENSG000807	gene_807
ENSG000808	gene_808
ENSG000809	gene_809
ENSG000810	MT-810
ENSG000811	MT-811
ENSG000812	gene_812
ENSG000813	gene_813
ENSG000814	gene_814
ENSG000815	gene_815
ENSG000816	MT-816
ENSG000817	gene_817
ENSG000818	gene_818
ENSG000819	gene_819
ENSG000820	gene_820
ENSG000821	gene_821
ENSG000822	gene_822
ENSG000823	gene_823
ENSG000824	gene_824
ENSG000825	gene_825
ENSG000826	gene_826
ENSG000827	gene_827
ENSG000828	gene_828
ENSG000829	MT-829
ENSG000830	gene_830
ENSG000831	gene_831
ENSG000832	gene_832
ENSG000833	MT-833
ENSG000834	gene_834
ENSG000835	gene_835
ENSG000836	gene_836
ENSG000837	gene_837
ENSG000838	gene_838
ENSG000839	gene_839
ENSG000840	gene_840
ENSG000841	gene_841
ENSG000842	MT-842
ENSG000843	gene_843
ENSG000844	gene_844
ENSG000845	gene_845
ENSG000846	MT-846
ENSG000847	gene_847
ENSG000848	gene_848
ENSG000849	gene_849
ENSG000850	gene_850
ENSG000851	gene_851
ENSG000852	gene_852
ENSG000853	gene_853
ENSG000854	MT-854
ENSG000855	gene_855
ENSG000856	gene_856
ENSG000857	gene_857
ENSG000858	gene_858
ENSG000859	MT-859
ENSG000860	gene_860
ENSG000861	gene_861
ENSG000862	gene_862
ENSG000863	gene_863
ENSG000864	gene_864
ENSG000865	gene_865
ENSG000866	gene_866
ENSG000867	MT-867
ENSG000868	gene_868
ENSG000869	gene_869
ENSG000870	MT-870
ENSG000871	gene_871
ENSG000872	gene_872
ENSG000873	gene_873
ENSG000874	gene_874
ENSG000875	gene_875
ENSG000876	gene_876
ENSG000877	gene_877
ENSG000878	MT-878
ENSG000879	gene_879
ENSG000880	gene_880
ENSG000881	gene_881
ENSG000882	gene_882
ENSG000883	gene_883
ENSG000884	gene_884
ENSG000885	gene_885
ENSG000886	gene_886
ENSG000887	gene_887
ENSG000888	gene_888
ENSG000889	gene_889
ENSG000890	gene_890
ENSG000891	gene_891
ENSG000892	MT-892
ENSG000893	gene_893
ENSG000894	gene_894
ENSG000895	gene_895
ENSG000896	gene_896
ENSG000897	gene_897
ENSG000898	gene_898
ENSG000899	gene_899
ENSG000900	gene_900
ENSG000901	gene_901
ENSG000902	gene_902
ENSG000903	gene_903
ENSG000904	gene_904
ENSG000905	gene_905
ENSG000906	gene_906
ENSG000907	gene_907
ENSG000908	gene_908
ENSG000909	gene_909
ENSG000910	gene_910
ENSG000911	gene_911
ENSG000912	gene_912
ENSG000913	gene_913
ENSG000914	gene_914
ENSG000915	gene_915
ENSG000916	gene_916
ENSG000917	gene_917
ENSG000918	gene_918
ENSG000919	gene_919
ENSG000920	gene_920
ENSG000921	gene_921
ENSG000922	gene_922
ENSG000923	gene_923
ENSG000924	gene_924
ENSG000925	gene_925
ENSG000926	gene_926
ENSG000927	gene_927
ENSG000928	gene_928
ENSG000929	gene_929
ENSG000930	gene_930
ENSG000931	gene_931
ENSG000932	gene_932
ENSG000933	gene_933
ENSG000934	gene_934
ENSG000935	gene_935
ENSG000936	gene_936
ENSG000937	gene_937
ENSG000938	gene_938
ENSG000939	gene_939
ENSG000940	gene_940
ENSG000941	gene_941
ENSG000942	MT-942
ENSG000943	gene_943
ENSG000944	gene_944
ENSG000945	gene_945
ENSG000946	MT-946
ENSG000947	gene_947
ENSG000948	gene_948
ENSG000949	gene_949
ENSG000950	gene_950
ENSG000951	gene_951
ENSG000952	MT-952
ENSG000953	gene_953
ENSG000954	gene_954
ENSG000955	gene_955
ENSG000956	gene_956
ENSG000957	gene_957
ENSG000958	MT-958
ENSG000959	gene_959
ENSG000960	gene_960
ENSG000961	gene_961
ENSG000962	gene_962
ENSG000963	gene_963
ENSG000964	gene_964
ENSG000965	gene_965
ENSG000966	MT-966
ENSG000967	gene_967
ENSG000968	gene_968
ENSG000969	MT-969
ENSG000970	gene_970
ENSG000971	gene_971
ENSG000972	gene_972
ENSG000973	gene_973
ENSG000974	gene_974
ENSG000975	gene_975
ENSG000976	gene_976
ENSG000977	gene_977
ENSG000978	gene_978
ENSG000979	gene_979
ENSG000980	gene_980
ENSG000981	gene_981
ENSG000982	gene_982
ENSG000983	gene_983
ENSG000984	gene_984
ENSG000985	gene_985
ENSG000986	gene_986
ENSG000987	gene_987
ENSG000988	gene_988
ENSG000989	gene_989
ENSG000990	gene_990
ENSG000991	gene_991
ENSG000992	gene_992
ENSG000993	gene_993
ENSG000994	gene_994
ENSG000995	gene_995
ENSG000996	gene_996
ENSG000997	gene_997
ENSG000998	gene_998
ENSG000999	gene_999
ENSG0001000	gene_1000
ENSG0001001	gene_1001
ENSG0001002	gene_1002
ENSG0001003	gene_1003
ENSG0001004	gene_1004
ENSG0001005	gene_1005
ENSG0001006	gene_1006
ENSG0001007	gene_1007
ENSG0001008	gene_1008
ENSG0001009	gene_1009
ENSG0001010	gene_1010
ENSG0001011	gene_1011
ENSG0001012	gene_1012
ENSG0001013	gene_1013
ENSG0001014	gene_1014
ENSG0001015	gene_1015
ENSG0001016	gene_1016
ENSG0001017	gene_1017
ENSG0001018	gene_1018
ENSG0001019	gene_1019
ENSG0001020	gene_1020
ENSG0001021	gene_1021
ENSG0001022	gene_1022
ENSG0001023	gene_1023
ENSG0001024	gene_1024
ENSG0001025	gene_1025
ENSG0001026	gene_1026
ENSG0001027	gene_1027
ENSG0001028	gene_1028
ENSG0001029	gene_1029
ENSG0001030	MT-1030
ENSG0001031	gene_1031
ENSG0001032	MT-1032
ENSG0001033	gene_1033
ENSG0001034	gene_1034
ENSG0001035	gene_1035
ENSG0001036	gene_1036
ENSG0001037	gene_1037
ENSG0001038	gene_1038
ENSG0001039	gene_1039
ENSG0001040	gene_1040
ENSG0001041	gene_1041
ENSG0001042	gene_1042
ENSG0001043	gene_1043
ENSG0001044	gene_1044
ENSG0001045	gene_1045
ENSG0001046	gene_1046
ENSG0001047	MT-1047
ENSG0001048	gene_1048
ENSG0001049	gene_1049
ENSG0001050	gene_1050
ENSG0001051	gene_1051
ENSG0001052	gene_1052
ENSG0001053	gene_1053
ENSG0001054	gene_1054
ENSG0001055	gene_1055
ENSG0001056	MT-1056
ENSG0001057	gene_1057
ENSG0001058	gene_1058
ENSG0001059	gene_1059
ENSG0001060	gene_1060
ENSG0001061	gene_1061
ENSG0001062	MT-1062
ENSG0001063	gene_1063
ENSG0001064	gene_1064
ENSG0001065	gene_1065
ENSG0001066	gene_1066
ENSG0001067	gene_1067
ENSG0001068	gene_1068
ENSG0001069	MT-1069
ENSG0001070	gene_1070
ENSG0001071	gene_1071
ENSG0001072	gene_1072
ENSG0001073	gene_1073
ENSG0001074	gene_1074
ENSG0001075	gene_1075
ENSG0001076	gene_1076
ENSG0001077	gene_1077
ENSG0001078	gene_1078
ENSG0001079	gene_1079
ENSG0001080	gene_1080
ENSG0001081	gene_1081
ENSG0001082	gene_1082
ENSG0001083	gene_1083
ENSG0001084	gene_1084
ENSG0001085	gene_1085
ENSG0001086	MT-1086
ENSG0001087	gene_1087
ENSG0001088	gene_1088
ENSG0001089	gene_1089
ENSG0001090	gene_1090
ENSG0001091	MT-1091
ENSG0001092	gene_1092
ENSG0001093	gene_1093
ENSG0001094	gene_1094
ENSG0001095	gene_1095
ENSG0001096	gene_1096
ENSG0001097	gene_1097
ENSG0001098	gene_1098
ENSG0001099	gene_1099
ENSG0001100	gene_1100
ENSG0001101	gene_1101
ENSG0001102	gene_1102
ENSG0001103	gene_1103
ENSG0001104	gene_1104
ENSG0001105	gene_1105
ENSG0001106	gene_1106
ENSG0001107	gene_1107
ENSG0001108	gene_1108
ENSG0001109	gene_1109
ENSG0001110	MT-1110
ENSG0001111	gene_1111
ENSG0001112	gene_1112
ENSG0001113	gene_1113
ENSG0001114	gene_1114
ENSG0001115	gene_1115
ENSG0001116	gene_1116
ENSG0001117	gene_1117
ENSG0001118	gene_1118
ENSG0001119	gene_1119
ENSG0001120	gene_1120
ENSG0001121	MT-1121
ENSG0001122	gene_1122
ENSG0001123	gene_1123
ENSG0001124	MT-1124
ENSG0001125	gene_1125
ENSG0001126	gene_1126
ENSG0001127	gene_1127
ENSG0001128	gene_1128
ENSG0001129	gene_1129
ENSG0001130	gene_1130
ENSG0001131	gene_1131
ENSG0001132	gene_1132
ENSG0001133	gene_1133
ENSG0001134	gene_1134
ENSG0001135	gene_1135
ENSG0001136	gene_1136
ENSG0001137	gene_1137
ENSG0001138	gene_1138
ENSG0001139	gene_1139
ENSG0001140	gene_1140
ENSG0001141	gene_1141
